127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-13 21:58:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-13 21:59:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/default/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-04-13 21:59:08, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-04-13 21:59:13, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-13 21:59:13, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-04-13 21:59:13, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-13 21:59:13, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-04-13 21:59:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-04-13 21:59:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2015-04-13 21:59:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-04-19 21:14:02, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2015-04-19 21:14:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.355000
127.0.0.1, 2015-04-19 21:14:03, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.008000
127.0.0.1, 2015-04-19 21:14:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:16:27, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-04-19 21:16:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-04-19 21:16:28, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.010000
127.0.0.1, 2015-04-19 21:16:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-04-19 21:16:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-04-19 21:16:36, GET, /welcome/default/main.css, HTTP/1.1, 404, 0.013000
